#ZVView-data-copy:  15-Feb-2026 15:30:14
#=======================================
#
#name:   29-CU-0(P,X)29-CU-61,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  47
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
         137.9            0       0.0372       0.0032  # 1992,S.J.Mills+          ## A0507009  #dY:8.6%   
           139            0     0.050092      0.00147  # 2003,H.Yashima+          ## E1829068  #dY:2.9%   
         142.7            0       0.0361       0.0031  # 1992,S.J.Mills+          ## A0507009  #dY:8.6%   
         147.5            0       0.0359       0.0031  # 1992,S.J.Mills+          ## A0507009  #dY:8.6%   
        148.86         0.29        0.039       0.0017  # 2021,M.B.Fox+            ## C2702041  #dY:4.4%   
         153.1            0       0.0337       0.0029  # 1992,S.J.Mills+          ## A0507009  #dY:8.6%   
         158.7            0       0.0328       0.0028  # 1992,S.J.Mills+          ## A0507009  #dY:8.5%   
        163.49         0.27       0.0364       0.0017  # 2021,M.B.Fox+            ## C2702041  #dY:4.7%   
         164.1            0       0.0333       0.0028  # 1992,S.J.Mills+          ## A0507009  #dY:8.4%   
         169.4            0       0.0314       0.0026  # 1992,S.J.Mills+          ## A0507009  #dY:8.3%   
           173            0     0.043751      0.00128  # 2003,H.Yashima+          ## E1829068  #dY:2.9%   
         177.2            0       0.0296       0.0024  # 1992,S.J.Mills+          ## A0507009  #dY:8.1%   
        177.28         0.26       0.0332       0.0016  # 2021,M.B.Fox+            ## C2702041  #dY:4.8%   
         183.8            0       0.0293       0.0024  # 1992,S.J.Mills+          ## A0507009  #dY:8.2%   
         190.2            0       0.0274       0.0022  # 1992,S.J.Mills+          ## A0507009  #dY:8.0%   
        192.54        0.245       0.0299       0.0016  # 2021,M.B.Fox+            ## C2702041  #dY:5.4%   
         196.6            0       0.0258       0.0021  # 1992,S.J.Mills+          ## A0507009  #dY:8.1%   
           200            0        0.025        0.003  # 1978,C.J.Orth+           ## O0418050  #dY:12.0%  
